group,model_A,model_B,total_pairs,acc_A,acc_B,p_A,r_A,f1_A,p_B,r_B,f1_B,b11,b10,b01,b00,statistic,p_value,exact,significant,conclusion
summarized,v1_transformer,v2_lstm,5946,0.25109317188025565,0.2561385805583586,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.041946845981428116,0.08386683738796415,0.055923159018143015,688,805,835,3618,0.5128048780487805,0.4739271602725216,False,False,No significant difference
summarized,v1_transformer,v2_transformer,5946,0.25109317188025565,0.2726202489068281,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.05763688760806916,0.11523687580025609,0.0768409818569904,690,803,931,3522,9.30161476355248,0.0022895196840161973,False,True,v2_transformer (better F1)
summarized,v1_transformer,v3_gru,5946,0.25109317188025565,0.25109317188025565,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.03714377201408902,0.07426376440460948,0.04951974386339382,752,741,741,3712,0.0006747638326585695,0.9792763083941,False,False,No significant difference
summarized,v1_transformer,v3_lstm,5946,0.25109317188025565,0.2685839219643458,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.053794428434197884,0.10755441741357234,0.07171824973319103,714,779,883,3570,6.383273164861612,0.011520078559186674,False,True,v3_lstm (better F1)
summarized,v1_transformer,v3_transformer,5946,0.25109317188025565,0.2537840565085772,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.03970541146333654,0.0793854033290653,0.05293489861259339,714,779,795,3658,0.14294790343074967,0.7053678083702994,False,False,No significant difference
summarized,v2_gru,v2_lstm,5946,0.27833837874201145,0.2561385805583586,0.06308037143772013,0.12612035851472472,0.08409818569903948,0.041946845981428116,0.08386683738796415,0.055923159018143015,1159,496,364,3927,19.954651162790697,7.930081047988247e-06,False,True,v2_gru (better F1)
summarized,v2_gru,v2_transformer,5946,0.27833837874201145,0.2726202489068281,0.06308037143772013,0.12612035851472472,0.08409818569903948,0.05763688760806916,0.11523687580025609,0.0768409818569904,1199,456,422,3869,1.2403189066059226,0.2654096015980466,False,False,No significant difference
summarized,v2_gru,v3_gru,5946,0.27833837874201145,0.25109317188025565,0.06308037143772013,0.12612035851472472,0.08409818569903948,0.03714377201408902,0.07426376440460948,0.04951974386339382,1097,558,396,3895,27.170859538784068,1.8624480504638232e-07,False,True,v2_gru (better F1)
summarized,v2_gru,v3_lstm,5946,0.27833837874201145,0.2685839219643458,0.06308037143772013,0.12612035851472472,0.08409818569903948,0.053794428434197884,0.10755441741357234,0.07171824973319103,1045,610,552,3739,2.796041308089501,0.09449735946408984,False,False,No significant difference
summarized,v2_gru,v3_transformer,5946,0.27833837874201145,0.2537840565085772,0.06308037143772013,0.12612035851472472,0.08409818569903948,0.03970541146333654,0.0793854033290653,0.05293489861259339,961,694,548,3743,16.928341384863124,3.881767478409936e-05,False,True,v2_gru (better F1)
summarized,v2_lstm,v2_transformer,5946,0.2561385805583586,0.2726202489068281,0.041946845981428116,0.08386683738796415,0.055923159018143015,0.05763688760806916,0.11523687580025609,0.0768409818569904,1111,412,510,3913,10.204989154013015,0.0014006121613984854,False,True,v2_transformer (better F1)
summarized,v2_lstm,v3_gru,5946,0.2561385805583586,0.25109317188025565,0.041946845981428116,0.08386683738796415,0.055923159018143015,0.03714377201408902,0.07426376440460948,0.04951974386339382,1055,468,438,3985,0.9282560706401766,0.33531649440320455,False,False,No significant difference
summarized,v2_lstm,v3_lstm,5946,0.2561385805583586,0.2685839219643458,0.041946845981428116,0.08386683738796415,0.055923159018143015,0.053794428434197884,0.10755441741357234,0.07171824973319103,971,552,626,3797,4.523769100169779,0.033427113427629544,False,True,v3_lstm (better F1)
summarized,v2_lstm,v3_transformer,5946,0.2561385805583586,0.2537840565085772,0.041946845981428116,0.08386683738796415,0.055923159018143015,0.03970541146333654,0.0793854033290653,0.05293489861259339,909,614,600,3823,0.13920922570016475,0.709068417801725,False,False,No significant difference
summarized,v2_transformer,v3_gru,5946,0.2726202489068281,0.25109317188025565,0.05763688760806916,0.11523687580025609,0.0768409818569904,0.03714377201408902,0.07426376440460948,0.04951974386339382,1069,552,424,3901,16.52561475409836,4.799727049984967e-05,False,True,v2_transformer (better F1)
summarized,v2_transformer,v3_lstm,5946,0.2726202489068281,0.2685839219643458,0.05763688760806916,0.11523687580025609,0.0768409818569904,0.053794428434197884,0.10755441741357234,0.07171824973319103,1035,586,562,3763,0.460801393728223,0.4972496787712395,False,False,No significant difference
summarized,v2_transformer,v3_transformer,5946,0.2726202489068281,0.2537840565085772,0.05763688760806916,0.11523687580025609,0.0768409818569904,0.03970541146333654,0.0793854033290653,0.05293489861259339,1003,618,506,3819,10.961743772241993,0.0009301224717056588,False,True,v2_transformer (better F1)
summarized,v3_gru,v3_lstm,5946,0.25109317188025565,0.2685839219643458,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.053794428434197884,0.10755441741357234,0.07171824973319103,1199,294,398,4055,15.330924855491329,9.022733117634087e-05,False,True,v3_lstm (better F1)
summarized,v3_gru,v3_transformer,5946,0.25109317188025565,0.2537840565085772,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.03970541146333654,0.0793854033290653,0.05293489861259339,1025,468,484,3969,0.23634453781512604,0.6268588388388538,False,False,No significant difference
summarized,v3_lstm,v3_transformer,5946,0.2685839219643458,0.2537840565085772,0.053794428434197884,0.10755441741357234,0.07171824973319103,0.03970541146333654,0.0793854033290653,0.05293489861259339,991,606,518,3831,6.733985765124555,0.0094592999530605,False,True,v3_lstm (better F1)
vanilla,v1_gru,v1_lstm,6062,0.5270537776311448,0.33833718244803695,0.2910662824207493,0.5819462227912933,0.3880469583778015,0.10790906179955172,0.21574903969270168,0.14386339381003202,1409,1786,642,2225,538.076194398682,4.942580238954443e-119,False,True,v1_gru (better F1)
vanilla,v1_gru,v1_transformer,6062,0.5270537776311448,0.26146486308149125,0.2910662824207493,0.5819462227912933,0.3880469583778015,0.03330131284021774,0.06658130601792574,0.044397011739594455,642,2553,943,1924,740.5266018306636,4.605500038803281e-163,False,True,v1_gru (better F1)
